,airline_sentiment,text
0,1,virginamerica what dhepburn said
1,2,virginamerica plus youve added commercials to the experience tacky
2,1,virginamerica i didnt today must mean i need to take another trip
3,0,virginamerica its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse
4,0,virginamerica and its a really big bad thing about it
5,0,"virginamerica seriously would pay 30 a flight for seats that didnt have this playing
its really the only bad thing about flying va"
6,2,"virginamerica yes nearly every time i fly vx this ""ear worm"" won't go away "
7,1,virginamerica really missed a prime opportunity for men without hats parody there httpstcomwpg7grezp
8,2,virginamerica well i didnt...but now i do d
9,2,virginamerica it was amazing and arrived an hour early youre too good to me
10,1,virginamerica did you know that suicide is the second leading cause of death among teens 1024
11,2,virginamerica i lt3 pretty graphics so much better than minimal iconography d
12,2,virginamerica this is such a great deal already thinking about my 2nd trip to australia amp i havent even gone on my 1st trip yet p
13,2,virginamerica virginmedia im flying your fabulous seductive skies again u take all the stress away from travel httptcoahlxhhkiyn
14,2,virginamerica thanks
15,0,virginamerica sfopdx schedule is still mia
16,2,virginamerica so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america 29daystogo
17,0,virginamerica  i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help
18,2,i  flying virginamerica 
19,2,virginamerica you know what would be amazingly awesome bosfll please i want to fly with only you
20,0,virginamerica why are your first fares in may over three times more than other carriers when all seats are available to select
21,2,virginamerica i love this graphic httptcout5grrwaaa
22,2,virginamerica i love the hipster innovation you are a feel good brand
23,1,virginamerica will you be making bosgtlas non stop permanently anytime soon
24,0,virginamerica you guys messed up my seating i reserved seating with my friends and you guys gave my seat away   i want free internet
25,0,virginamerica status match program  i applied and its been three weeks  called and emailed with no response
26,0,virginamerica what happened 2 ur vegan food options at least say on ur site so i know i wont be able 2 eat anything for next 6 hrs fail
27,1,virginamerica do you miss me dont worry well be together very soon
28,0,virginamerica amazing to me that we cant get any cold air from the vents vx358 noair worstflightever roasted sfotobos
29,1,virginamerica lax to ewr  middle seat on a red eye such a noob maneuver sendambien andchexmix
30,0,virginamerica hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems 
31,1,virginamerica are the hours of operation for the club at sfo that are posted online current
32,0,virginamerica help left expensive headphones on flight 89 iad to lax today seat 2a no one answering lampf number at lax
33,0,virginamerica awaiting my return phone call just would prefer to use your online selfservice option 
34,2,virginamerica this is great news  america could start flights to hawaii by end of year httptcor8p2zy3fe4 via pacificbiznews
35,1,nice rt virginamerica vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience httptcoy7o0unxtqp
36,2,virginamerica moodlighting is the only way to fly best experience ever cool and calming  moodlitmonday
37,2,virginamerica freddieawards done and done best airline around hands down
38,1,virginamerica when can i book my flight to hawaii
39,0,virginamerica your chat support is not working on your site httptcovhp2gtdwpk
40,2,virginamerica view of downtown los angeles the hollywood sign and beyond that rain in the mountains httptcodw5nf0ibtr
41,0,virginamerica hey first time flyer next week  excited but im having a hard time getting my flights added to my elevate account help
42,1,virginamerica plz help me win my bid upgrade for my flight 227 laxgtsea  
43,1,virginamerica i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires travelhelp
44,1,virginamerica are flights leaving dallas for seattle on time feb 24
45,2,virginamerica im elevategold for a good reason you rock
46,1,virginamerica  dream httptcooa2drfaoq2 httptcolwwdac2khx
47,2,virginamerica wow this just blew my mind
48,1,virginamerica ladygaga carrieunderwood after last night tribute soundofmusic oscars2015 ladygaga i think carrieunderwood agree
49,1,virginamerica ladygaga carrieunderwood all were entertaining
50,1,virginamerica is flight 769 on its way was supposed to take off 30 minutes ago website still shows on time not in flight thanks
51,2,virginamerica ladygaga carrieunderwood julie andrews all the way though ladygaga was very impressive no to carrieunderwood
52,1,virginamerica wish you flew out of atlanta soon
53,1,virginamerica ladygaga carrieunderwood julie andrews hands down
54,1,virginamerica will flights be leaving dallas for la on february 24th
55,0,virginamerica hi im so excited about your 99 lgagtdal deal but ive been trying 2 book since last week amp the page never loads thx
56,2,virginamerica you know it need it on my spotify stat guiltypleasures
57,2,virginamerica ladygaga carrieunderwood  im lady gaga she is amazing 
58,1,virginamerica ladygaga carrieunderwood  carrie
59,1,virginamerica new marketing song httpstcof2lfulcbq7 let us know what you think
60,1,virginamerica ladygaga carrieunderwood julie andrews first but lady gaga wowd me last night carrie meh
61,0,virginamerica i called a 34 weeks ago about adding 3 flights from 2014 to my elevatethey still havent shown uphelp
62,1,virginamerica ladygaga carrieunderwood all are great  but i have to go with carrieunderwood 
63,1,virginamerica ladygaga carrieunderwood sorry mary martin had it first
64,2,virginamerica ladygaga carrieunderwood  love all three but you really cant beat the classics
65,1,virginamerica flight 0736 dal to dca 224 210pm tried to check in could not status please
66,0,virginamerica heyyyy guyyyys been trying to get through for an hour can someone call me please 
67,0,virginamerica hi virgin im on hold for 4050 minutes  are there any earlier flights from la to nyc tonight earlier than 1150pm
68,2,virginamerica congrats on winning the travelzoo award for best deals from an airline us httptcokj1iljaebv
69,0,virginamerica everything was fine until you lost my bag
70,1,virginamerica need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online
71,1,virginamerica i emailed your customer service team let me know if you need the tracking number
72,1,virginamerica hi i just booked a flight but need to add baggage how can i do this
73,0,virginamerica your airline is awesome but your lax loft needs to step up its game 40 for dirty tables and floors httptcohy0vrfhjht
74,2,virginamerica not worried its been a great ride in a new plane with great crew all airlines should be like this
75,2,virginamerica awesome i flew yall sat morning any way we can correct my bill 
76,1,virginamerica or watch some of the best student films in the country at 35000 feet cmfat35000feet httptcokek5pdmgif
77,1,virginamerica first time flying you all do you have a different ratepolicy for media bags thanks
78,0,virginamerica what is going on with customer service is there anyway to speak to a human asap thank you
79,1,virginamerica what happened to doom
80,0,virginamerica why cant you supp the biz traveler like southwestair  and have customer service like jetblue neverflyvirginforbusiness
81,2,virginamerica ive applied more then once to be a member of the inflight crew teamim 100 interested flightattendant dreampath g
82,0,virginamerica youre the best whenever i begrudgingly use any other airline im delayed and late flight 
83,0,virginamerica i have no interesting flying with you after this i will cancelled flight my next four flights i plannedneverflyvirginforbusiness
84,0,virginamerica it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin
85,0,virginamerica i'm having trouble adding this flight my wife booked to my elevate account help httptcopx8hqoks3r
86,1,virginamerica cant bring up my reservation online using flight booking problems code
87,1,virginamerica random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share httptcoaptzpurop4
88,1,virginamerica i lt3 flying va but life happens and i am trying to change my trip jperhi  can you helpva home page will not let me 
89,0,virginamerica why is the site down  when will it be back up
90,1,virginamerica you down with rnp yeah you know me
91,1,virginamerica hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account
92,0,virginamerica i like the tv and interesting video  just disappointed in cancelled flightled flight when other flights went out to jfk on saturday 
93,0,virginamerica just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin
94,1,virginamerica why is flight 345 redirected
95,0,virginamerica is it me or is your website down  btw your new website isnt a great user experience  time for another redesign
96,0,virginamerica i cant check in or add a bag your website isnt working ive tried both desktop and mobile httptcoavyqdmpi1y
97,0,virginamerica  let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin uncomfortable
98,0,virginamerica what is your phone number i cant find who to call about a flight reservation
99,0,virginamerica is anyone doing anything there today  website is useless and no one is answering the phone
100,1,virginamerica trying to add my boy prince to my ressie sf this thursday virginamerica from lax httptcogsb2j3c4gm
101,0,virginamerica why must a traveler miss a flight to late flight check a bag  i missed my morning appointments and you lost my business sfo2lax
102,1,virginamerica check out new music httptcomarcnocwzn
103,0,virginamerica hows a direct flight fllgtsfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight sneaky
104,0,virginamerica your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp
105,2,virginamerica  amazing customer  service again  raeann in sf  shes the best customerservice virginamerica flying
106,0,virginamerica called your service line and was hung up on this is awesome sarcasm
107,0,virginamerica your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info
108,1,virginamerica i was scheduled for sfo 2 dal flight 714 today changed to 24th due weather looks like flight still on
109,2,virginamerica has getaway deals through may from 59 oneway lots of cool cities httptcotzzjhuibch cheapflights farecompare
110,1,virginamerica has getaway deals through may from 59 oneway lots of cool cities httptcorpdbpx3wnd cheapflights farecompare
111,2,virginamerica has getaway deals through may from 59 oneway lots of cool cities httptcob2xi4yg5t8 cheapflights farecompare
112,1,virginamerica has getaway deals through may from 59 oneway lots of cool cities httptcoqdljhsloi5 cheapflights farecompare
113,2,virginamerica have a great week 
114,2,virginamerica come back to phl already we need you to take us out of this horrible cold pleasecomeback httptcoglxfwp6nqh
115,0,virginamerica should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop
116,2,virginamerica is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience
117,2,virginamerica and again another rep kicked butt naelah represents your team so beautifully thank you
118,2,virginamerica your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure
119,2,virginamerica love the team running gate e9 at las tonight waited for a delayed flight and they kept things entertaining
120,0,virginamerica use another browser 2015 amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website
121,0,virginamerica and now the flight flight booking problems site is totally down folks what is the problem
122,0,virginamerica i like the customer service but a 40 min delay just for connecting passengers seems too long va370
123,2,virginamerica thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight
124,2,virginamerica you have the absolute best team and customer service ever  every time i fly with you im delighted  thank you
125,1,virginamerica do you provide complimentary upgrades to first class if there are available seats
126,0,virginamerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone im calling intern help
127,2,virginamerica completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time vabeatsjblue
128,1,virginamerica how can i watch the oscars2015 on my jfkgtsfo flight
129,1,virginamerica is flight 882 cancelled flightled and what do i do if it is
130,0,virginamerica you are failing your customers because your check in process does not link to tsa precheck
131,0,virginamerica fidifamilies us too terrible airline just gave us a hotel hotline number and said sorry
132,1,virginamerica has flight number 276 from sfo to cabo san lucas arrived yet
133,0,virginamerica chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you
134,0,virginamerica another delayed flight likingyoulessandless
135,0,virginamerica i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise
136,2,virginamerica you rock for making it so i can watch oscars on my flight redcarpet oscars oscars2015
137,1,virginamerica reallytallchris dropped a track on you httpstcozv2pt6trk9
138,2,virginamerica always xoxo
139,0,virginamerica why cant we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated
140,0,virginamerica youd think paying an extra 100 bucks rt for luggage might afford you hiring an extra hand at sfo lame
141,2,virginamerica best customer service rep in the world irmafromdallas takes the cake
142,1,virginamerica can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service 
143,0,virginamerica please provide status for flight 769  i cant imagine its on time as the web indicates  dude to weather here andor dallas
144,2,virginamerica you have amazing staff amp super helpful as i just ran the waltdisneyworld princesshalf they have spoiled me with comfort
145,0,virginamerica i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face 
146,0,virginamerica question is it not possible to book a seat for an infant under 2 its not giving me the option but we want a seat for him
147,2,always have it together youre welcome rt virginamerica jessicajaymes youre so welcome
148,2,virginamerica flight home to dc sunset globe in backtowinter back to work refreshed httptcovx9vbctdlf
149,0,virginamerica i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy
150,0,virginamerica does that mean you dont have a policy for destroyed luggage
151,1,virginamerica is there special assistance if i travel alone w2 kids and 1 infant priority boarding
152,2,virginamerica thank you for checking in tickets are purchased and customer is happy 
153,1,virginamerica is your website ever coming back online
154,1,virginamerica   is flight 713 from love field to sfo definitely cancelled flightled for monday february 23
155,1,virginamerica is flight 0769 out of lga to dfw on time
156,1,virginamerica my drivers license is expired by a little over a month can i fly friday morning using my expired license
157,0,virginamerica having problems flight booking problems on the web site keeps giving me an error and to contact by phone  phone is 30 minute wait
158,0,virginamerica how do i reschedule my cancelled flightled flights online the change button is greyed out
159,0,virginamerica i rang but there is a wait for 35 minutes i can book the same ticket through a vendor fix your site
160,0,virginamerica got a flight we were told for 450 todaychecked my email and its for 450 tomorrow this is unacceptable
161,0,virginamerica our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today12
