,clean_text
0,when modi promised “minimum government maximum governance” expected him begin the difficult job reforming the state why does take years get justice state should and not business and should exit psus and temples
1,vote such party and leadershipwho can take fast and firm action none other than narendra damodardas modi and bjp party 
2,didn’ write chowkidar does mean ’ anti modi try visit the plz not all who haven’ used are anti 
3,with firm belief the leadership shri narendra modi bjp entering into politics given form file nomination for the khammam parliamentary seat proceeding khammam today 
4,sultanpur uttar pradesh loksabha candidate select pawan kumar pandey actually public want given vote modi but your current condidate not popular district your candidate bsp candidate sonbhadra singh
5,thiugh nehru not alive but still alive heart modi for every failure nehru responsible 
6,"modi govts slashing indias education budget clear indicator that they dont care for indias future
congress president shri the other hand has ensured the increase the budget gdp
this the future india deserves "
7,how such people are being made amazedn fear that frustation him may not result vote against sir waste ministerdisgrace entire modi cabinet 
8,people wish your vision india and least interested about your personal enmity with modi others its your personal problem handle this personally and dont expect nation will join your dirty fight with others tell why vote 
9,modi for eternal what wrong dear sirji perfectly fine with indian people
10,this the new india modi trying build with these leaders his party why have live with these deplorable characters 
11,mistry man not then why drag modi the nri followers this the man wrong action should taken against him for spreading hatred please don’ have agenda condemning criminal activities sir fyi please
12,entrepreneurs are rising india after modi govt created system for them took care their tax concerns and created infra for them incubate well never happened congress you guys just want power sit and shit its simple for you
13,anchor doing canvas against modi not fit for journalism
14,will these channels say modi also scared contests from two seats even propoganda needs little decency
15,’ confused who said that intellectuals should decide modi’ policies the question was which intellectuals sided with modi and similarly there’ those who’ disagree with his policies too where’ the question deciding anything
16,asked learn from how treat minority well does want what did minor 
17,modi great his opponents generally are selfish idiots who keep attacking his governance skill modi doing great for 3040 yrs you tell what will you give oppo know after years modi rule that can wonders this stupid world created dishonest
18,rahul doesnt make false promises like modi has always delivered whatever has been promised you may check his track record you can count him 
19,mad sandip singh have some sense javed akhtar could have called narendra modi producer sandip ssingh credit row entertainment news the indian express 
20,voted for modi last time but never again economy screwed hate ideology being propagated need not rahul but any one other than modi the next few weeks will tell there way bjp will get majority the propagandas only social media
21,open your eyes not see any critic modi cong exculding these mongers there vast indai like called bharat modis concern security praise worthy but his autocratic norm denying each and every allegation like kimjong its painful sorrowful too regards
22,dont forget petrol prices have risen ₹ modi government when gulf prices were going down ाेशबचा 
23,from the very beginningmodi doing wada faramoshi you dont believe take example used say giving lakhs every indian and after years governance failed fulfill his promise 
