text,sentiment
southwestair youre my early frontrunner for best airline oscars2016,2.0
usairways how is it that my flt to ewr was cancelled flightled yet flts to nyc from usairways are still flying,0.0
jetblue what is going on with your bdl to dca flights yesterday and today why is every single one getting delayed,0.0
jetblue do they have to depart from washington dc,1.0
jetblue i can probably find some of them are the ticket s on there,0.0
united still waiting to hear back my wallet was stolen from one of your planes so would appreciate a resolution here,0.0
united yes my flight was rebooked im just losing trust in you if i want to get anywhere on time,0.0
jetblue thank you  what about paris  could we arrange something from there ,1.0
united not 100 sure however my ticket included one checked bag therefore this charge was extra and completely unanticipated,0.0
usairways great crew for flight 504 phx to yvr tonight friendly efficient awesome job,2.0
usairways ive been on hold to change a date on a ticket for over 3 hours can someone please assist me unacceptable,0.0
southwestair i dmd you,1.0
southwestair already signed up  thanks  looking forward to trying the southwest experience,2.0
southwestair it was 3472,1.0
usairways oh well ill get to cancun eventually,2.0
usairways flight 837 passengers stuck on plane in philly where is the gangway  we cant hear the pilot,0.0
americanair no had already waited an hour for it and wanted to get home,0.0
southwestair thanks for the quick response should i call daily it wait the 5 days,2.0
jetblue now we dont have enough money for parking in your garage this is your fault and im not paying for what should be 10mins into 3hrs,0.0
jetblue 266 at lgb in sunny so cal httptcov015pk7dsi,1.0
americanair yvonneokaka when do i get my personal response and apology for your crews having forgotten to load baggage onto my flight,0.0
jetblue no he didnt have more info i was more infuriated by the way previous rep treated me how she can possibly work as a jetblue rep,0.0
united is a money sucking airline with terrible terrible customer service,0.0
americanair and btwn gate a8 amp a15 i lost a diamond earring dayjustgotworse pls have maintenance look for it httptcouiesr3ghho,1.0
usairways shoutout 2 kristiesp from gate4  pvd today shes a rockstar was a tremendous help in a tough situation promotethatgirl,2.0
usairways my family friends and colleagues will never  fly usair again bad weather happens the good airlines seem to communicate better,0.0
jetblue we have just landed thank you anyway btw flight staff on flight 654 were wonderful despite their full day and heavy load,2.0
jetblue airbusintheus a320 landing arubaairport in february of 2014 avgeek warmweather httpstcokaej9g0chd,1.0
southwestair ahhhh sorry just followed,1.0
americanair the ticket is a poor gesture of goodwill for missed trip to a top status flyer  i may not next time aa91 lhrord 216,0.0
usairways  when youve got to get there weve got excuses usairwaysfail,0.0
jetblue ill pass along the advice you guys rock,2.0
virginamerica just bought tix for atx  dallas route  thanks for adding that love yr airline amp yr website is best transactional site ever,2.0
jetblue haha no need to apologize  ill be flight booking problems sooner than late flightr i love jetblue,2.0
southwestair been on hold  for 2 12 hrs cant get 2 airport 4 flight icy country backroads help pls can a human answer bna,0.0
southwestair 14 hours  sorry dont get it oh well screw the weekend in az right  eat the hotel no problem,0.0
united no wonder the cabin is filthy badservice,0.0
usairways do you operate any flights without maintenance issues flights inout of dca cancelled flighted this is getting old update fleet pls,0.0
united or im sure her business will go else where for airline travel her name is kathryn sotelo,0.0
usairways i relied on us airways and that was my mistake awful customer experience,0.0
americanair my flight to dfw from lit on my way to pdx tomorrow was cancelled flighted can you help me,0.0
united very poor customer service i will think again befor flight booking problems another united flight,0.0
united joni did a great job on flight 5653 to lax thanks for a great flight,2.0
united a broken luggage and a mild case of food poisoning from ua5 lhriah who can i email about this,0.0
